Arquivo,Qtd Músculo,Qtd Tec. Conjuntivo,Qtd Vasos,Observações,% Músculo,% TC,% Vasos,Média % Músculo,Média % TC
Rato5ME2,32,22,0,,"59,259","40,741","0,000",,
Rato5ME3,33,21,0,,"61,111","38,889","0,000",,
Rato5ME4,25,29,0,,"46,296","53,704","0,000",,
Rato5ME5,24,30,0,,"44,444","55,556","0,000",,
Rato5ME7,15,39,0,,"27,778","72,222","0,000",,
Rato5ME8,30,24,0,,"55,556","44,444","0,000",,
Rato5ME9,24,30,0,,"44,444","55,556","0,000",,
Rato5ME10,28,26,0,,"51,852","48,148","0,000",,
Rato5ME11,36,18,0,,"66,667","33,333","0,000",,
Rato5ME12,34,20,0,,"62,963","37,037","0,000",,
Rato5ME13,30,24,0,,"55,556","44,444","0,000",,
Rato5ME14,19,35,0,,"35,185","64,815","0,000",,
Rato5ME15,23,31,0,,"42,593","57,407","0,000",,
Rato5ME16,26,28,0,,"48,148","51,852","0,000",,
Rato5ME17,19,35,0,,"35,185","64,815","0,000",,
Rato6DCont1,37,17,0,,"68,519","31,481","0,000","81,94444444","18,05555556"
Rato6DCont2,38,16,0,,"70,370","29,630","0,000",,
Rato6DCont3,42,12,0,,"77,778","22,222","0,000",,
Rato6DCont4,47,7,0,,"87,037","12,963","0,000",,
Rato6DCont5,44,10,0,,"81,481","18,519","0,000",,
Rato6DCont6,39,15,0,,"72,222","27,778","0,000",,
Rato6DCont7,41,13,0,,"75,926","24,074","0,000",,
Rato6DCont8,45,9,0,,"83,333","16,667","0,000",,
Rato6DCont9,47,7,0,,"87,037","12,963","0,000",,
Rato6DCont10,40,14,0,,"74,074","25,926","0,000",,
Rato6DCont11,49,5,0,,"90,741","9,259","0,000",,
Rato6DCont12,49,5,0,,"90,741","9,259","0,000",,
Rato6DCont13,50,4,0,,"92,593","7,407","0,000",,
Rato6DCont14,39,15,0,,"72,222","27,778","0,000",,
Rato6DCont15,52,2,0,,"96,296","3,704","0,000",,
Rato6DCont16,49,5,0,,"90,741","9,259","0,000",,
Rato6DCont17,40,14,0,,"74,074","25,926","0,000",,
Rato6DCont18,41,13,0,,"75,926","24,074","0,000",,
Rato6DCont19,42,12,0,,"77,778","22,222","0,000",,
Rato6DCont20,38,16,0,,"70,370","29,630","0,000",,
Rato6DCont21,39,15,0,,"72,222","27,778","0,000",,
Rato6DCont22,35,19,0,,"64,815","35,185","0,000",,
Rato6DCont23,42,12,0,,"77,778","22,222","0,000",,
Rato6DCont24,43,11,0,,"79,630","20,370","0,000",,
Rato6ME1,23,31,0,imagem ruim,"42,593","57,407","0,000",50,50
Rato6ME2,21,33,0,,"38,889","61,111","0,000",,
Rato6ME3,26,28,0,,"48,148","51,852","0,000",,
Rato6ME4,31,23,0,imagem ruim,"57,407","42,593","0,000",,
Rato6ME5,33,21,0,,"61,111","38,889","0,000",,
Rato6ME6,23,31,0,,"42,593","57,407","0,000",,
Rato6ME7,22,32,0,,"40,741","59,259","0,000",,
Rato6ME8,39,15,0,,"72,222","27,778","0,000",,
Rato6ME9,30,24,0,,"55,556","44,444","0,000",,
Rato6ME10,17,37,0,imagem ruim,"31,481","68,519","0,000",,
Rato6ME11,20,34,0,,"37,037","62,963","0,000",,
Rato6ME12,22,32,0,,"40,741","59,259","0,000",,
Rato6ME13,30,24,0,,"55,556","44,444","0,000",,
Rato6ME14,32,22,0,,"59,259","40,741","0,000",,
Rato6ME15,28,26,0,,"51,852","48,148","0,000",,
Rato6ME16,35,19,0,,"64,815","35,185","0,000",,
Rato6machoEsquerda1,25,29,0,,"46,296","53,704","0,000",,
Rato6machoEsquerda2,33,21,0,,"61,111","38,889","0,000",,
Rato6machoEsquerda3,32,22,0,,"59,259","40,741","0,000",,
Rato6machoEsquerda4,38,16,0,,"70,370","29,630","0,000",,
Rato6machoEsquerda5,43,11,0,,"79,630","20,370","0,000",,
Rato6machoEsquerda6,49,5,0,,"90,741","9,259","0,000",,
Rato6machoEsquerda7,43,11,0,,"79,630","20,370","0,000",,
Rato6machoEsquerda8,49,5,0,,"90,741","9,259","0,000",,
Rato7DCont1,33,20,1,,"61,111","37,037","1,852","56,25","42,59259259"
Rato7DCont2,23,31,0,,"42,593","57,407","0,000",,
Rato7DCont3,25,29,0,,"46,296","53,704","0,000",,
Rato7DCont4,33,19,2,,"61,111","35,185","3,704",,
Rato7DCont5,33,19,2,,"61,111","35,185","3,704",,
Rato7DCont6,32,22,0,,"59,259","40,741","0,000",,
Rato7DCont7,30,24,0,,"55,556","44,444","0,000",,
Rato7DCont8,34,20,0,,"62,963","37,037","0,000",,
Rato7DCont10,31,23,0,,"57,407","42,593","0,000",,
Rato7ME1,18,36,0,,"33,333","66,667","0,000","55,09259259","44,56018519"
Rato7ME2,30,24,0,,"55,556","44,444","0,000",,
Rato7ME3,23,31,0,,"42,593","57,407","0,000",,
Rato7ME4,31,23,0,,"57,407","42,593","0,000",,
Rato7ME5,33,21,0,,"61,111","38,889","0,000",,
Rato7ME6,34,20,0,,"62,963","37,037","0,000",,
Rato7ME7,36,18,0,,"66,667","33,333","0,000",,
Rato7ME8,34,20,0,,"62,963","37,037","0,000",,
Rato7ME9,23,31,0,,"42,593","57,407","0,000",,
Rato7ME10,30,24,0,,"55,556","44,444","0,000",,
Rato7ME11,25,28,1,,"46,296","51,852","1,852",,
Rato7ME12,30,23,1,,"55,556","42,593","1,852",,
Rato7ME13,37,16,1,,"68,519","29,630","1,852",,
Rato7ME14,36,18,0,,"66,667","33,333","0,000",,
Rato7ME15,28,26,0,,"51,852","48,148","0,000",,
Rato7ME16,28,26,0,,"51,852","48,148","0,000",,
