CAPITAL,IBGE_RES_POP,IBGE_RES_POP_ESTR,IBGE_DU_RURAL,IBGE_PLANTED_AREA,IBGE_CROP_PRODUCTION_$,IDHM,LONG,LAT,AREA,GVA_AGROPEC,GVA_INDUSTRY,GDP_CAPITA,COMP_A,COMP_B,COMP_D,COMP_O,COMP_T,HOTELS,BEDS,Pr_Bank,Pu_Bank,Wheeled_tractor,UBER,WAL-MART,POST_OFFICES,RURAL_URBAN_Intermediário Remoto,RURAL_URBAN_Rural Adjacente,RURAL_URBAN_Rural Remoto,RURAL_URBAN_Urbano,CATEGORIA_TUR_A,CATEGORIA_TUR_B,CATEGORIA_TUR_C,CATEGORIA_TUR_D,CATEGORIA_TUR_NENHUM
-0.05735917485978916,-0.1303068612176628,-0.034665558488279326,-0.5145771601176442,-0.3167018166456994,-0.37743098007574166,0.708,-0.49829690460818044,-0.04297169754596555,-0.2473493023806618,-0.536080215974138,-0.1095124609809461,-0.010827969070455135,-0.16255614729032042,-0.16413061539134582,-0.06240429123754688,0.16744156963668014,0.0,-0.18468706155718453,-0.1509910194327611,-0.4599536481366109,-0.8805159379673645,-0.09324679504236696,-0.14693341561606912,-0.061245813982163035,-0.250342701972472,-0.10512734692577491,-1.1120954618279937,-0.2483991297480216,1.7139398093323894,-0.08349370003378179,-0.17215680820226667,-0.31657619156712924,-0.7185390334153298,1.1872530471927545
-0.05735917485978916,-0.13129410961947965,-0.034665558488279326,-0.36348360324715806,-0.2228742747845695,-0.26892532055458546,0.69,-0.17966128312408755,-0.2518976347462765,-0.11620539970826586,0.03070413004747077,-0.11138340467127342,0.23656739120437373,-0.15027606619375325,0.9241913801185565,0.13582322878727648,-0.22282882345705127,0.0,-0.18468706155718453,-0.1509910194327611,-0.4599536481366109,-0.8805159379673645,-0.09324679504236696,-0.14693341561606912,-0.061245813982163035,-0.250342701972472,-0.10512734692577491,0.8992033816559792,-0.2483991297480216,-0.5834510608569844,-0.08349370003378179,-0.17215680820226667,-0.31657619156712924,1.3917128416070057,-0.8422804240127982
-0.05735917485978916,-0.07933155274943277,0.05601041924383492,-0.024113309495089497,-0.09142549738873658,-0.1678394248166862,0.69,-0.3857711090616679,0.026656867582983464,-0.08688299563159645,-0.5356691382129547,-0.11967490955318795,-0.26369831987412473,-0.16255614729032042,1.577184577424498,-0.06240429123754688,-0.027693626910185565,0.0,0.23595496370729094,0.0030767993779402744,0.16250334757883717,0.05996897806744064,-0.09324679504236696,-0.14693341561606912,-0.061245813982163035,0.27533866418165914,-0.10512734692577491,0.8992033816559792,-0.2483991297480216,-0.5834510608569844,-0.08349370003378179,-0.17215680820226667,3.158797239456816,-0.7185390334153298,-0.8422804240127982
-0.05735917485978916,-0.03953740641340769,-0.034665558488279326,-0.25724594607259743,-0.2818999183063428,-0.33946674567298274,0.698,0.12446311538135395,-0.33266197183001783,0.05107724452775119,0.7408906643061616,-0.10679533156485245,-0.13204448030670796,-0.0029150930349475415,-0.16413061539134582,-0.06240429123754688,-0.22282882345705127,0.0,-0.18468706155718453,-0.1509910194327611,0.7849603432942852,1.0004538941022458,-0.09324679504236696,-0.14693341561606912,-0.061245813982163035,0.5381793472587246,-0.10512734692577491,-1.1120954618279937,-0.2483991297480216,1.7139398093323894,-0.08349370003378179,-0.17215680820226667,-0.31657619156712924,1.3917128416070057,-0.8422804240127982
-0.05735917485978916,0.6401142404420272,0.002094973024739963,6.221480513956022,0.24448161341362099,4.312107950888418,0.628,-0.411588504246717,1.7741026889759908,0.014186096545145643,1.0397648403294806,-0.0818854651919805,-0.6355618457014914,-0.17483622838688756,0.053533783710634636,-0.06240429123754688,-0.22282882345705127,0.0,-0.18468706155718453,-0.1509910194327611,0.7849603432942852,2.8814237261718563,-0.09324679504236696,-0.14693341561606912,-0.061245813982163035,0.01249798110459358,-0.10512734692577491,-1.1120954618279937,-0.2483991297480216,1.7139398093323894,-0.08349370003378179,-0.17215680820226667,-0.31657619156712924,1.3917128416070057,-0.8422804240127982
-0.05735917485978916,-0.1095287262491916,-0.034665558488279326,0.04553137687490022,-0.2652996609001429,-0.35468195748168696,0.628,1.1220756822325746,1.0932734286604693,-0.24148374925214172,-0.48639006965398024,-0.13476338399846458,-0.7285498199300929,-0.21167647167658898,-0.38179501449332626,-0.06240429123754688,-0.22282882345705127,0.0,-0.18468706155718453,-0.1509910194327611,-0.4599536481366109,-0.8805159379673645,-0.09324679504236696,-0.14693341561606912,-0.061245813982163035,-0.250342701972472,-0.10512734692577491,0.8992033816559792,-0.2483991297480216,-0.5834510608569844,-0.08349370003378179,-0.17215680820226667,-0.31657619156712924,-0.7185390334153298,1.1872530471927545
-0.05735917485978916,-0.12204152576059138,-0.034665558488279326,-0.049492305375678974,-0.303710310849543,-0.3629671367514179,0.603,0.7145173582791353,0.38065381720120783,-0.17739516449018863,-0.5360105436789155,-0.13166713031731742,-0.6978062217009666,-0.15027606619375325,-0.38179501449332626,-0.06240429123754688,-0.22282882345705127,0.0,0.23595496370729094,-0.042237264978148364,-0.4599536481366109,-0.8805159379673645,-0.09324679504236696,-0.14693341561606912,-0.061245813982163035,-0.250342701972472,-0.10512734692577491,-1.1120954618279937,4.025778999364488,-0.5834510608569844,-0.08349370003378179,-0.17215680820226667,-0.31657619156712924,1.3917128416070057,-0.8422804240127982
-0.05735917485978916,-0.07182961285888254,-0.034665558488279326,0.28928777916986426,-0.27747919758403955,-0.23709949832332755,0.575,1.1113114546687892,0.9281341110158797,0.01316203745232358,-0.43319633809194663,-0.1347626441205614,-0.7342542740201663,-0.19939639058002184,-0.38179501449332626,-0.06240429123754688,-0.22282882345705127,0.0,-0.18468706155718453,-0.1509910194327611,0.16250334757883717,-0.8805159379673645,-0.09324679504236696,-0.14693341561606912,-0.061245813982163035,-0.250342701972472,-0.10512734692577491,-1.1120954618279937,4.025778999364488,-0.5834510608569844,-0.08349370003378179,-0.17215680820226667,-0.31657619156712924,-0.7185390334153298,1.1872530471927545
-0.05735917485978916,-0.12520990435246876,-0.034665558488279326,-0.4962806747153588,-0.2968987921855859,-0.323090937901798,0.687,-0.634247092333278,-0.8335571766249964,-0.23279086368933805,0.28668474263674726,-0.12679270641657642,0.01473085731340237,-0.16255614729032042,-0.38179501449332626,-0.06240429123754688,-0.22282882345705127,0.0,-0.18468706155718453,-0.1509910194327611,-0.4599536481366109,0.05996897806744064,-0.09324679504236696,-0.14693341561606912,-0.061245813982163035,-0.250342701972472,-0.10512734692577491,0.8992033816559792,-0.2483991297480216,-0.5834510608569844,-0.08349370003378179,-0.17215680820226667,-0.31657619156712924,-0.7185390334153298,1.1872530471927545
-0.05735917485978916,-0.15454610540878266,-0.034665558488279326,-0.5010023483675615,-0.19980081917785417,-0.21406200390044822,0.69,-0.7453712478230115,-1.3542538396018864,-0.2312824764740818,-0.2557019587486908,-0.13153951040192596,0.19375360796765356,-0.19939639058002184,-0.38179501449332626,-0.06240429123754688,-0.22282882345705127,0.0,-0.18468706155718453,-0.1509910194327611,-0.4599536481366109,0.05996897806744064,-0.05374599180196162,-0.14693341561606912,-0.061245813982163035,-0.250342701972472,-0.10512734692577491,0.8992033816559792,-0.2483991297480216,-0.5834510608569844,-0.08349370003378179,-0.17215680820226667,-0.31657619156712924,1.3917128416070057,-0.8422804240127982
